kernel_id,kernel_repr,penalty,seed,n_train,n_test,r2,mae,rmse,fit_time_s
k00,1**2 * RBF(length_scale=1),10.0,103,630,270,0.9434888636914737,1.4154565756278086,1.8264987022935586,0.9325972500082571
k01,1**2 * RBF(length_scale=1) + RBF(length_scale=0.3),10.0,103,630,270,0.945173452371388,1.3949084807959529,1.799068907051746,2.1745069999888074
k02,1**2 * RBF(length_scale=1) * RBF(length_scale=0.5),10.0,103,630,270,0.9434888747996232,1.415456450357664,1.8264985227800765,1.4307400840043556
k03,"1**2 * Matern(length_scale=1, nu=0.5)",10.0,103,630,270,0.8982729555248085,1.767744963747988,2.4505894608173713,0.8971985839889385
k04,"1**2 * Matern(length_scale=1, nu=1.5)",10.0,103,630,270,0.9403605832226977,1.385741356278298,1.8763724244833595,1.138683791999938
k05,"1**2 * Matern(length_scale=1, nu=2.5)",10.0,103,630,270,0.9428443808707848,1.3907758602327045,1.8368843529230547,1.1080038330110256
k06,"1**2 * Matern(length_scale=1, nu=1.5) + Matern(length_scale=0.3, nu=2.5)",10.0,103,630,270,0.9431537005623872,1.3851221517491408,1.8319071054111298,2.521134082984645
k07,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",10.0,103,630,270,0.9453722831796609,1.376069663210493,1.7958037440718875,2.780994875007309
k08,"1**2 * RationalQuadratic(alpha=0.1, length_scale=1)",10.0,103,630,270,0.9453722768130035,1.3760697270816564,1.7958038487190116,3.013273290998768
k09,"1**2 * RationalQuadratic(alpha=10, length_scale=1)",10.0,103,630,270,0.9453722774638132,1.3760696906375582,1.7958038380218186,3.0103947919851635
k10,1**2 * DotProduct(sigma_0=1) + RBF(length_scale=1),10.0,103,630,270,0.9457264061757767,1.3626301298194061,1.789973650826262,3.312771208002232
k11,"1**2 * DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)",10.0,103,630,270,0.9399688535937375,1.382892608232345,1.8825246278862298,3.6767200409958605
k12,1**2 * DotProduct(sigma_0=0.1) + RBF(length_scale=1),10.0,103,630,270,0.9457264086176886,1.3626300955755388,1.7899736105584465,3.0351289590180386
k13,1**2 * DotProduct(sigma_0=1),10.0,103,630,270,0.472230888368534,4.273003939989524,5.581800785481862,4.316643041995121
k14,"1**2 * ExpSineSquared(length_scale=1, periodicity=1)",10.0,103,630,270,-0.010282062672124503,6.220221599024842,7.722780104756268,0.48916416699648835
k15,"1**2 * RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)",10.0,103,630,270,0.9460443957648725,1.3708295471405765,1.7847222097114557,1.7768178329861257
k16,"1**2 * Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1)",10.0,103,630,270,0.9415083974157403,1.3729487642379528,1.858228464041622,1.5342106250172947
k17,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-12),10.0,103,630,270,0.9434888106976855,1.4154572120862372,1.8264995587005324,0.9429360840003937
k18,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1e-12)",10.0,103,630,270,0.9428443623202682,1.3907760920297838,1.8368846510140517,1.0737872909812722
k19,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-12)",10.0,103,630,270,0.9453721931651082,1.3760708760468472,1.7958052236175621,2.2014049580029678
k20,"1**2 * Matern(length_scale=1, nu=2.5)",10.0,103,630,270,0.9428443827291377,1.390775837052456,1.8368843230609038,0.6648230419959873
k00,1**2 * RBF(length_scale=1),1000000.0,103,630,270,0.9353081536917365,131459.7047006446,172127.33506265207,0.6895752910058945
k01,1**2 * RBF(length_scale=1) + RBF(length_scale=0.3),1000000.0,103,630,270,0.9373340651256662,129195.32892872329,169410.69859986284,1.553552084020339
k02,1**2 * RBF(length_scale=1) * RBF(length_scale=0.5),1000000.0,103,630,270,0.9353081577194072,131459.70053017803,172127.32970438598,1.1052314580010716
k03,"1**2 * Matern(length_scale=1, nu=0.5)",1000000.0,103,630,270,0.8806940351251448,165278.67821055563,233752.4387317377,0.7714250419812743
k04,"1**2 * Matern(length_scale=1, nu=1.5)",1000000.0,103,630,270,0.9266499152995553,135069.68544279537,183284.34915945938,0.9016230000124779
k05,"1**2 * Matern(length_scale=1, nu=2.5)",1000000.0,103,630,270,0.9326836276155323,131809.20624069741,175584.19626320945,0.7716438329953235
k06,"1**2 * Matern(length_scale=1, nu=1.5) + Matern(length_scale=0.3, nu=2.5)",1000000.0,103,630,270,0.9326054056002249,131647.56518581702,175686.1815723647,1.9717864590056706
k07,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",1000000.0,103,630,270,0.9365099478904945,128320.97660474107,170521.01678966865,1.9762659589760005
k08,"1**2 * RationalQuadratic(alpha=0.1, length_scale=1)",1000000.0,103,630,270,0.9365099478904945,128320.97660474107,170521.01678966865,2.031389500014484
